RECORD_NUM,SET_KEY,COMMIT_PID,ENTITY_SUB_TYPE_PID,IS_SYSTEM,BASE_ENTITY_TYPE_KEY,BASE_ENTITY_SUB_TYPE_KEY,PARENT_SUB_TYPE_KEY,GROUP_OF_TYPE_KEY,GROUP_OF_SUB_TYPE_KEY,REMINDER_KEY,DISPLAY_ORDER,IS_DEFAULT,SHOW
1,1,0,1,401,,401,401,0,0,0,0,FALSE,TRUE
2,1,0,2,701,,701,701,0,0,0,FALSE,TRUE,TRUE
3,1,0,3,501,,501,501,0,0,0,FALSE,TRUE,TRUE
4,1,0,4,501,,501,501,0,0,0,FALSE,TRUE,TRUE
5,1,0,5,726,,726,501,0,0,0,FALSE,TRUE,TRUE
